,Democratization of data submission and organization,"iOS and Android mobile app (EC4.1); ArcGIS made for advanced practitioner use, however, mobile app remains accessible users familiar with smartphone usage (EC4.2); 40+ languages offered (EC4.2);",Yes
,Free to use,Free public accounts with high limitations for personal use; Enterprise pricing plans for organizations (https://www.esri.com/en-us/arcgis/access-options#professionals),No
,Open source ,ArcGIS is proprietary software;,No
,Inclusive development ,No information of tool being developed with users; Rich community forum for user developer conversation (EC7.2); (https://community.esri.com/t5/custom/page/page-id/Communities);,Partial
,Example Projects ,"Utah's Division of Oil, Gas and Mining implemented ArcGIS Survey123, which provided a standardized, form-centric data collection tool which increased the efficiency of many aspects of inspections, including offline capabilities for mobile workers, better consistency and accuracy in reporting, and a new inspection prioritization map for tracking inspections (https://www.esri.com/en-us/lg/product/stories/utah-department-of-natural-resources-case-study);  An electric company in Sohar, Oman switched from paper maps for field use to ArcGIS Survey 123 allowing field updates to automatically generate, and reduce processing time from hours to minutes. The result was that all levels of management, from field managers to corporate management, were continually updated on restoration and damage assessment progress (https://www.esri.com/en-us/lg/industry/electric-and-gas/stories/majanco-case-study) ",
Cadasta (https://cadasta.org/),Integrated data aggregation and advocacy grade visualizations,"Web app dashboard offers real-time updates with maps, graphs, and statistics (EC1.2); Create reports and maps based on data (EC1.3); Access to detailed geospatial content and data layers through ArcGIS (EC1.2); Interactive maps to show data; Import and export data (EC1.2); Diverse data types (GPS coordinates, satellite, radar, or drone imagery, digital maps, video, photographs, scanned paper documents, and other) (EC1.1); Collaboration on how to define, visualize, and share data for advocacy;",Yes
,"Resilient, low friction field capture","GPS enabled smartphone mobile app with offline data collection (EC2.1, EC2.2); Survey data reporting (EC2.3);",Yes
,"Secure, verifiable evidence management ",Certain components use ArcGIS Online and follow their security (https://cadasta.org/privacy-policy/); No information about encryption during transfer or data provenance; ,No
,Democratization of data submission and organization,Multiple target languages (EC4.2); Offline capture; Simple mobile app (EC4.1); 91% of individuals they work with live below India's national poverty line (EC4.2);,Yes
,Free to use,"Casts itself as affordable, cost-effective, and partner-driven provider of land technology, training, and technical services, catering especially to communities, NGOs, and governments to document land and resource rights at scale; No general information about specific pricing;",No
,Open source ,"Legacy app remains open source, but current product is closed source (ec6.3);",Partial
,Inclusive development ,Works in collaboration with government and communities to implement technology solutions (EC7.1); Only email reach out for support;,Partial
,Example Projects ,"Cadasta collaborate with another rainforest protection agency to train and empower indigenous communities in Peru with survey design, mapping, and dashboard development. With real-time data, satellite information, and biodiversity monitoring, these communities are better equipped to combat challenges such as land invasion, drug trafficking, and illegal logging (https://storymaps.arcgis.com/stories/65420dcdd43d41ea96f7e9172fc0a57f);",
SMART (https://smartconservationtools.org/en-us/),Integrated data aggregation and advocacy grade visualizations,"Mobile, desktop, cloud-based components (EC1.1); Desktop offers interactive mapping spatial analysis, report generation (EC1.2, EC1.3); Query and summary functions for view data; Mobile app can collect georeferenced field observations, photos, and other data (EC1.1);",Yes
,"Resilient, low friction field capture",Mobile offline functionality (EC2.1 EC2.2); Unlimited customized forms (EC2.3); ,No
,"Secure, verifiable evidence management ",SSL encryption between webserver and web browser (https://drive.google.com/file/d/1Yz8d8YGvZbS2j56QsqzD9tESV0KJuYoU/view) (EC3.1); No cryptographic hashing or signatures;,Partial
,Democratization of data submission and organization,iOS and Android mobile app (EC4.1); Icon driven UI (EC4.2); Mobile app supports any language with icon options( (EC4.2),Yes
,Free to use,"SMART Connect is offered to government agencies and nonprofits for free (EC5.1, EC5.3);",Yes
,Open source ,"All core components are open source, GPL-License (EC6.1); Provides technical manuals for developers and users (EC6.2);",Yes
,Inclusive development ,"9 global conservation organizations joined forces to create SMART (EC7.1); Early testing with users in Aisa, Indonesia, Tanzania (https://smartconservationtools.org/en-us/About/About-Us) (EC7.1); ""Development driven by, and responsive to, the user-base"" (https://smartconservationtools.org/en-us/SMART-Approach/Technology); Active community forum for user developer conversation (https://forum.smartconservationtools.org/) (EC7.2);",Yes
,Example Projects ,"The Chirripó National Park in Costa Rica one of the most biologically important sites in the region declared by UNESCO as a World Heritage Site. SMART was implemented to reinforce the organization and strengthen local conservation initiatives improving the implementation of patrols and data sharing with environmental authorities (https://smartconservationtools.org/en-us/SMART-Community/Your-stories/Case-Study?CaseStudyID=27); In Kenyir-Taman Negara, a 1,200km2 forest, Panthera and Malaysian NGO Rimba work to recover the area's tiger population.  SMART Patrol tool and SMART Profiles were implemented to build an understanding of how poaching teams operated and refine counter-poaching tactics (https://smartconservationtools.org/en-us/SMART-Community/Your-stories/Case-Study?CaseStudyID=11);",
Timby  (https://timby.org/),Integrated data aggregation and advocacy grade visualizations,"Satellite and change imagery on mobile devices; Timeline generation for reports and maps (EC1.2, EC1.3); Create PDF reports, blogs, and policy documents (EC1.3); Dashboard for analyzing data (EC1.2);",Yes
,"Resilient, low friction field capture","Anonymous, mobile offline submission (EC2.1, EC2.2)",Yes
,"Secure, verifiable evidence management ",End to end encryption (EC3.1); Submission with evidence chain (EC3.2); User can select from a wide set of permissions to select what data to share (EC3.3);,Yes
,Democratization of data submission and organization,"Available in 18 languages (EC4.2); Advertises 5-minute setup regardless of technical ability (EC4.2); WhatsApp, SMS, and mobile app submission options (EC4.1); ",Yes
,Free to use,"Offers free services such as pilot and trial periods, but full production accounts come at a cost, which is unspecified;",Partial
,Open source ,,No
,Inclusive development ,Built in close collaboration with groups around world (EC7.1); No community forum for developers and user;,Partial
,Example Projects ,"USAID's Amazon Alive Activity, implemented by Chemonics, empowers indigenous communities in Colombia to monitor and safeguard their land, heritage, and rich biodiversity. Timby allows them to track and document potential threats to their territories, including illegal logging, mining, and land encroachment; while integrating their traditional knowledge, cultures, and ancestral ways of life and improving their decision-making processes (https://timby.org/case-studies/). ",
